Name1,Genre,Year,platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Company
Pokemon Sun/Moon 3DS,Role-Playing,2016,3DS,Nintendo,2.98,1.45,2.26,0.45,7.14,Nintendo
Yokai Watch 3 3DS,Action,2016,3DS,Level 5,0,0,1.33,0,1.33,Nintendo
Dragon Quest Monsters Joker 3 3DS,Role-Playing,2016,3DS,Square Enix,0,0,0.63,0,0.63,Nintendo
Yokai Sangokushi 3DS,Action,2016,3DS,Level 5,0,0,0.56,0,0.56,Nintendo
Mario & Sonic at the Rio 2016 Olympic Games 3DS,Action,2016,3DS,Nintendo,0.05,0.21,0.25,0.02,0.53,Nintendo
Hyrule Warriors 3DS,Action,2016,3DS,Nintendo,0.17,0.13,0.11,0.03,0.43,Nintendo
Monster Hunter Stories 3DS,Action,2016,3DS,Capcom,0,0,0.28,0,0.28,Nintendo
Ace Attorney 6 3DS,Adventure,2016,3DS,Capcom,0,0,0.27,0,0.27,Nintendo
Puzzle & Dragons X: God Chapter / Dragon Chapter 3DS,Action,2016,3DS,GungHo,0,0,0.22,0,0.22,Nintendo
Story of Seasons: Good Friends of the Three Villages 3DS,Simulation,2016,3DS,Marvelous Interactive,0,0,0.2,0,0.2,Nintendo
Shin Megami Tensei IV: Final 3DS,Role-Playing,2016,3DS,Deep Silver,0.05,0,0.14,0.01,0.19,Nintendo
Etrian Odyssey V 3DS,Role-Playing,2016,3DS,Atlus,0,0,0.12,0,0.12,Nintendo
Taiko no Tatsujin: Don Don! Mystery Adventure 3DS,Action,2016,3DS,Namco Bandai Games,0,0,0.1,0,0.1,Nintendo
Sonic Boom: Fire & Ice 3DS,Platform,2016,3DS,Sega,0.05,0.03,0,0.01,0.09,Nintendo
Sumikko Gurashi: Mura o Tsukurundesu 3DS,Misc,2016,3DS,Nippon Columbia,0,0,0.08,0,0.08,Nintendo
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!! 3DS,Action,2016,3DS,Namco Bandai Games,0,0,0.06,0,0.06,Nintendo
Culdcept Revolt 3DS,Strategy,2016,3DS,Nintendo,0,0,0.06,0,0.06,Nintendo
Corpse Party: Back to School Edition 3DS,Adventure,2016,3DS,Xseed Games,0.05,0,0,0.01,0.06,Nintendo
12-Sai. Koisuru Diary 3DS,Adventure,2016,3DS,Happinet,0,0,0.05,0,0.05,Nintendo
Card Fight!! Vanguard G: Stride to Victory!! 3DS,Misc,2016,3DS,FuRyu,0,0,0.04,0,0.04,Nintendo
Haikyu!! Cross Team Match! 3DS,Adventure,2016,3DS,Namco Bandai Games,0,0,0.04,0,0.04,Nintendo
Doraemon: Shin Nobita no Nihon Tanjou 3DS,Misc,2016,3DS,FuRyu,0,0,0.04,0,0.04,Nintendo
My Hero Academia: Battle for All 3DS,Action,2016,3DS,Namco Bandai Games,0,0,0.04,0,0.04,Nintendo
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen! 3DS,Action,2016,3DS,Namco Bandai Games,0,0,0.03,0,0.03,Nintendo
PriPara Mezameyo! Megami no Dress Design 3DS,Action,2016,3DS,Takara Tomy,0,0,0.03,0,0.03,Nintendo
3DS Classic Collection 3DS,Misc,2016,3DS,Sega,0.03,0,0,0,0.03,Nintendo
Medabots Girls Mission: Metabee Ver. / Rokusho Ver. 3DS,Role-Playing,2016,3DS,Rocket Company,0,0,0.03,0,0.03,Nintendo
One Piece: Daikaizoku Coliseum 3DS,Fighting,2016,3DS,Namco Bandai Games,0,0,0.03,0,0.03,Nintendo
Beyblade Burst 3DS,Role-Playing,2016,3DS,FuRyu,0,0,0.03,0,0.03,Nintendo
River City Ransom SP 3DS,Action,2016,3DS,Arc System Works,0,0,0.01,0,0.01,Nintendo
Aikatsu Stars! My Special Appeal 3DS,Action,2016,3DS,Namco Bandai Games,0,0,0.01,0,0.01,Nintendo
Teddy Together 3DS,Simulation,2016,3DS,Nintendo,0,0.02,0,0,0.03,Nintendo
Harvest Moon: Skytree Village 3DS,Simulation,2016,3DS,Natsume,0.02,0,0,0,0.03,Nintendo
Kirby: Planet Robobot 3DS,Action,2016,3DS,Nintendo,0.28,0.14,0.47,0.04,0.93,Nintendo
Terraria 3DS,Action,2016,3DS,505 Games,0,0.04,0.05,0,0.09,Nintendo
LEGO Marvel's Avengers 3DS,Action,2016,3DS,Warner Bros. Interactive Entertainment,0.07,0.09,0.01,0.01,0.19,Nintendo
Lego Star Wars: The Force Awakens 3DS,Action,2016,3DS,Warner Bros. Interactive Entertainment,0.04,0.07,0.01,0.01,0.12,Nintendo
Dragon Ball: Fusions 3DS,Role-Playing,2016,3DS,Namco Bandai Games,0.02,0,0.19,0,0.21,Nintendo
Azure Striker Gunvolt 3DS,Action,2016,3DS,Yacht Club Games,0.01,0,0,0,0.01,Nintendo
Azure Striker Gunvolt: Striker Pack 3DS,Action,2016,3DS,Inti Creates,0,0,0.01,0,0.01,Nintendo
Cartoon Network Battle Crashers 3DS,Action,2016,3DS,FuRyu Corporation,0.01,0,0,0,0.01,Nintendo
Mega Man Legacy Collection 3DS,Platform,2016,3DS,Capcom,0.14,0,0.05,0.02,0.21,Nintendo
Disney Art Academy 3DS,Action,2016,3DS,Nintendo,0.02,0.01,0.08,0,0.11,Nintendo
Mario Party: Star Rush 3DS,Misc,2016,3DS,Nintendo,0.08,0.13,0.08,0.02,0.3,Nintendo
Zero Escape: Zero Time Dilemma 3DS,Adventure,2016,3DS,Aksys Games,0.05,0,0.02,0.01,0.08,Nintendo
Metroid Prime: Federation Force 3DS,Action,2016,3DS,Nintendo,0.02,0.01,0.01,0,0.05,Nintendo
MLB 16: The Show PS3,Action,2016,PS3,Sony Computer Entertainment,0.16,0,0,0.04,0.19,Sony
Dragon Quest Heroes II: Twin Kings and the Prophecy's End PS3,Action,2016,PS3,Square Enix,0,0,0.13,0,0.13,Sony
Dragon Quest Builders: Revive Alefgard PS3,Role-Playing,2016,PS3,Square Enix,0,0,0.12,0,0.12,Sony
Yakuza Kiwami PS3,Adventure,2016,PS3,Sega,0,0,0.12,0,0.12,Sony
Tales of Berseria PS3,Role-Playing,2016,PS3,Namco Bandai Games,0,0,0.12,0,0.12,Sony
Jikkyou Powerful Pro Baseball 2016 PS3,Sports,2016,PS3,Konami Digital Entertainment,0,0,0.12,0,0.12,Sony
UEFA Euro 2016 PS3,Sports,2016,PS3,Konami Digital Entertainment,0,0.04,0.03,0.01,0.08,Sony
